Sentiment(polarity=1.0, subjectivity=0.75),I feel great!
Sentiment(polarity=0.0, subjectivity=0.0),Today I got passed over for a promotion 😔
Sentiment(polarity=0.55, subjectivity=0.875),Wow today is great!
Sentiment(polarity=0.0, subjectivity=0.0),Rest In Peace my GPA
Sentiment(polarity=0.2676136363636364, subjectivity=0.6636363636363637),I got a new job! I'm so happy I can finally leave my old place.
Sentiment(polarity=-0.20454545454545456, subjectivity=0.5959595959595959),First day in the job was well yikes. The traffic was terrible and my new boss hates me.
Sentiment(polarity=0.5, subjectivity=0.6),Day two on the job I learned how to sneak snacks into my cubicle. I love eating candy all day
Sentiment(polarity=0.5, subjectivity=0.6),I love puppies
Sentiment(polarity=0.5792857142857142, subjectivity=0.7428571428571427),When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fucking special  But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here  I don't care if it hurts I want to have control I want a perfect body I want a perfect soul I want you to notice When I'm not around You're so fucking special I wish I was special  But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here  Oh oh  She's running out again She's running out She run run run run Run  Whatever makes you happy Whatever you want You're so fucking special I wish I was special  But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't belong here 2018-12-01 14:52:47.354046
Sentiment(polarity=0.1416666666666667, subjectivity=0.725),�This incredible artist had ALS and had been lying motionless in bed for 7 years� we were determined to help him draw again.� Mick Ebeling and Not Impossible Labs tackle the impossible every day. What should they tackle next?
Sentiment(polarity=-0.125, subjectivity=0.225),A month ago I applied for a small loan at Wells Fargo for the 1st time ever to consolidate some small bills. They denied the loan. I went to a local Credit Union and they gave me the loan. Today I signed up for a checking/savings account at that Credit Union and canceled my accounts with Wells Fargo. Couldn't be happier to stop doing business with a crooked ass corporation.
Sentiment(polarity=-0.10277777777777779, subjectivity=0.29351851851851857),My wife and I lived on the west coast and I had to leave my job (internship expired). We were running shorter and shorter on cash and were forced to break out our credit card to stay afloat for a while. We used it for rent a few times (big no-no) and for lots of other things. We were both miserable out there so we moved to the midwest in June of 2018. By the time the move was over we had about 4k racked up on the card. We both found good jobs after our move and I wanted this debt gone. This morning I made my last payment of 400 dollars and we now have a 0 balance on the card! Now we can actually start putting some money away!
Sentiment(polarity=0.0, subjectivity=0.07179487179487179),Khashoggi an outspoken critic of the Saudi crown prince was murdered inside the Saudi consulate in Istanbul. He had left�Saudi Arabia�in self-imposed exile last year and settled in the US state of Virginia where he was a regular contributor to The Washington Post.
Sentiment(polarity=0.2505050505050505, subjectivity=0.5646464646464647),Parents who force unremorseful kids to apologize to others before they�re truly sorry may do more harm than good suggests a new study. That�s because the point main point of an apology is lost as children may dislike the apologizer even more after the insincere apology than before.
Sentiment(polarity=0.0, subjectivity=0.75),"I've heard from countless people that Python is ""slower"" than languages like C++ I was wondering how this affects the final product - as in web applications in terms of latency times for users etc?"
Sentiment(polarity=-0.006944444444444443, subjectivity=0.29583333333333334),I�ve tried applying it daily on my lashes for 2 weeks and noticed such DRAMATIC difference. My lashes were much much longer and thicker. However as soon as I stopped applying it every day my lashes started falling out more than usual (3-4 per day as opposed to 1-2 per day). The shedding lasted for a few days then it went back to normal. It has been a few months now since I stopped and my lashes are now back at their normal length/density.
Sentiment(polarity=0.12000000000000002, subjectivity=0.28),It took our whole team months to plan and prepare this big initiative to promote our platform. And it took even longer to get our platform to the point where it delivered real value for people and to be ready for big promotion. Please support and share if it's something that might interest you or someone you know.
Sentiment(polarity=0.13999999999999999, subjectivity=0.4377777777777778),Hey guys I've been working on learning Javascript for a month or so now and the hardest part has been getting it set up to even see what my code does. This week I finally managed to get a local web server running on my machine using node.js but I wasn't sure if I really understood I was doing. Today while looking for a tutorial on the $.getJSON function I came across a paragraph on setting up a web server and realized that�it actually made sense to me! It goes:
Sentiment(polarity=0.375, subjectivity=0.44583333333333336),"""Jeb Neil Marvin Doro and I are saddened to announce that after 94 remarkable years our dear Dad has died"" said former President George W. Bush in a statement. ""George H. W. Bush was a man of the highest character and the best dad a son or daughter could ask for. The entire Bush family is deeply grateful for 41�s life and love for the compassion of those who have cared and prayed for Dad and for the condolences of our friends and fellow citizens."""
Sentiment(polarity=0.13611111111111113, subjectivity=0.5108024691358025),"I have a list of player point projections the results and the absolute value of the amount missed by. I want to get a picture on how accurate the projections are. I am not the best with stats took one class in college and most of what I know comes from excel anyways so I am not exactly sure how to approach this. My thoughts are that I want to get the Variation for my ""missed by"" column then get the Standard Deviation of the Variation then get the Mean missed by. Then I could get the standard error and find a confidence interval so I could see that 99% of all projections were within +x and -x where x = Mean miss +/- the CI."
